0,number_of_schools
237 EAST 21 STREET,20
237 EAST 5 STREET,20
237 ELDRIDGE STREET,20
237 FROST STREET,10
237 KINGSTON AVENUE,20
237 NORTH 5 STREET,20
237 SULLIVAN STREET,20
237 WEST 137 STREET,20
2370 62 STREET,13
2373 ADAM C POWELL BLVD,20
2375 EAST 3 STREET,10
238 26 STREET,6
238 ALBANY AVENUE,20
238 EAST 111 STREET,20
238 EAST 116 STREET,20
238 EAST 82 STREET,20
238 GARFIELD PLACE,20
238 SACKETT STREET,20
238 SOUTH 2 STREET,20
238 WEST 14 STREET,20
238 WEST END AVENUE,5
239 ASHLAND PLACE,20
239 BANKER STREET,8
239 BLEECKER STREET,20
239 EAST 18 STREET,20
239 EAST 33 STREET,20
239 EAST 73 STREET,20
239 EAST 80 STREET,20
239 EAST 81 STREET,20
239 FLATBUSH AVENUE,20
239 LEONARD STREET,20
239 NORTH 9 STREET,20
239 OCEAN AVENUE,6
239 SOUTH 1 STREET,20
239 UTICA AVENUE,20
239 WEST 105 STREET,19
24 ARLINGTON PLACE,19
24 BAY 40 STREET,15
24 CENTRAL PARK SOUTH,14
24 COOK STREET,20
24 KANE PLACE,20
24 ST MARK'S PLACE,20
24 SUYDAM PLACE,20
24-03 DITMARS BOULEVARD,6
24-05 28 STREET,13
24-11 29 STREET,14
24-12 21 AVENUE,6
24-12 35 STREET,5
24-12 42ND ROAD,20
24-14 23 STREET,7
24-14 27 STREET,12
24-15 36 STREET,5
24-16 23 STREET,7
24-16 36 STREET,5
24-18 36 STREET,5
24-19 41 STREET,7
24-22 36 STREET,5
24-25 29 STREET,14
24-33 38 STREET,7
24-37 41 STREET,7
24-40 38 STREET,7
24-45 27 STREET,11
24-47 44 STREET,7
24-49 27 STREET,11
24-52 44 STREET,7
24-54 37 STREET,6
24-54 38 STREET,7
24-56 44 STREET,7
24-60 27 STREET,11
24-60 32 STREET,15
24-65 38 STREET,7
240 BERKELEY PLACE,20
240 CENTRAL PARK SOUTH,18
240 CROWN STREET,16
240 EAST 13 STREET,20
240 EAST 27 STREET,20
240 EAST 35 STREET,20
240 EAST 46 STREET,20
240 EAST 47 STREET,20
240 EAST 52 STREET,20
240 EAST 76 STREET,20
240 EAST 82 STREET,20
240 FLATBUSH AVENUE,20
240 HULL STREET,17
240 RIVERSIDE BOULEVARD,18
240 SACKETT STREET,20
240 SULLIVAN PLACE,19
240 WEST 112 STREET,20
240 WEST 14 STREET,20
240 WEST 15 STREET,20
240 WEST 73 STREET,20
240 WEST END AVENUE,20
240 WYTHE AVENUE,16
2401 NEWKIRK AVENUE,12
2402 GERRITSEN AVENUE,6
2403 CAMBRELENG AVENUE,20
2408 DEAN STREET,20
2409 TILDEN AVENUE,20
240A SKILLMAN AVENUE,14
241 5 AVENUE,20
241 95 STREET,11
241 ATLANTIC AVENUE,20
241 CARLTON AVENUE,19
241 JEFFERSON STREET,8
241 MIDWOOD STREET,18
241 WEST 100 STREET,20
241 WEST 107 STREET,20
2411 EAST 3 STREET,11
2415 ARTHUR AVENUE,20
2415 NEWKIRK AVENUE,12
242 6 AVENUE,20
242 BRADHURST AVENUE,16
242 DEVOE STREET,20
242 EAST 15 STREET,20
242 EAST 72 STREET,20
242 GREENE AVENUE,20
242 MADISON STREET,15
242 MENAHAN STREET,20
242 SOUTH 2 STREET,20
242 WEST 104 STREET,20
242 WEST 61 STREET,20
2420 GLENWOOD ROAD,4
2425 NOSTRAND AVENUE,12
2427 HOFFMAN STREET,20
243 EAST 33 STREET,20
243 EAST 38 STREET,20
243 HOWARD AVENUE,20
243 SCHOLES STREET,20
243 WEST 60 STREET,20
243 WEST 98 STREET,20
244 EAST 117 STREET,20
244 EAST 13 STREET,20
244 EAST 26 STREET,20
244 EAST 33 STREET,20
244 EAST 46 STREET,20
244 FRANKLIN AVENUE,20
244 GARFIELD PLACE,20
244 HOYT STREET,19
244 MADISON AVENUE,20
244 WEST 106 STREET,19
244 WEST 137 STREET,20
244 WEST 4 STREET,20
244 WEST 72 STREET,20
2449 OCEAN AVENUE,14
245 89 STREET,16
245 96 STREET,9
245 AVENUE C,20
245 EAST 124 STREET,20
245 EAST 35 STREET,20
245 EAST 40 STREET,18
245 EAST 50 STREET,20
245 EAST 58 STREET,20
245 EAST 63 STREET,20
245 EAST 78 STREET,20
245 EAST 93 STREET,20
245 JEFFERSON AVENUE,18
245 SOUTH 3 STREET,20
245 WEST 14 STREET,20
245 WEST 25 STREET,20
245 WEST 51 STREET,20
245 WEST 75 STREET,20
245 WEST 99 STREET,20
246 CARLTON AVENUE,19
246 EAST 110 STREET,20
246 EAST 51 STREET,20
246 JEFFERSON AVENUE,19
246 MONTROSE AVENUE,9
246 WEST 106 STREET,19
246 WEST 108 STREET,20
246 WEST 116 STREET,20
246 WEST 138 STREET,20
246 WEST 17 STREET,20
2461 FREDERICK DOUGLASS BLVD,20
247 12 STREET,15
247 6 AVENUE,20
247 EAST 33 STREET,20
247 LEFFERTS AVENUE,14
247 LINDEN BOULEVARD,20
247 MONTROSE AVENUE,20
247 N 7 STREET,20
247 SKILLMAN AVENUE,13
247 WEST 46 STREET,20
247 WEST 87 STREET,20
2474 FREDERICK DOUGLASS BOULEVARD,20
2475 WEST 16 STREET,5
2479 ARTHUR AVENUE,20
248 5 AVENUE,20
248 DEVOE STREET,20
248 DUFFIELD STREET,20
248 HANCOCK STREET,8
248 MC KIBBIN STREET,19
248 SHERMAN AVENUE,15
248 STAGG STREET,20
2480 ARTHUR AVENUE,20
2483 EAST 19 STREET,3
249 EAST 118 STREET,20
249 EAST 48 STREET,20
249 EAST KINGSBRIDGE RD,20
249 WEST END AVENUE,20
2490 FREDERICK DOUGLASS BLVD,20
25 5 AVENUE,20
25 BROAD STREET,20
25 BRUCKNER BLVD,20
25 CENTRAL PARK WEST,20
25 COLUMBUS CIRCLE,20
25 CONSELYEA STREET,20
25 EAST 10 STREET,20
25 EAST 67 STREET,20
25 EAST 86 STREET,20
25 FAYETTE STREET,18
25 FT WASHINGTON AVENUE,13
25 JAY STREET,10
25 KING STREET,20
25 MALCOLM X BOULEVARD,20
25 PARADE PLACE,13
25 PELL STREET,20
25 SKILLMAN AVENUE,20
25 TENNIS COURT,16
25 WASHINGTON STREET,8
25 WEST 13 STREET,20
25 WEST 132 STREET,20
25 WEST HOUSTON STREET,20
25-03 23 STREET,9
25-03 24 AVENUE,9
25-05 41 STREET,10
25-07 24 AVENUE,9
25-08 73 STREET,4
25-09 31 AVENUE,20
25-10 NEWTOWN AVENUE,16
25-11 42 STREET,7
25-11 45 STREET,5
25-12 14 PLACE,5
25-13 27 STREET,12
25-15 24 AVENUE,11
25-15 34 STREET,17
25-15 CRESCENT STREET,12
25-16 32 STREET,16
25-17 14 STREET,5
25-17 30 AVENUE,20
25-18 47 STREET,5
25-18 BROADWAY,20
25-20 BROADWAY,20
25-20 CRESCENT STREET,12
25-21 14 STREET,5
25-21 34 STREET,16
25-24 30 DRIVE,20
25-24 38 STREET,7
25-24 BROADWAY,20
25-27 36 STREET,6
25-27 ASTORIA BLVD SOUTH,14
25-28 18 STREET,5
25-30 30 ROAD,20
25-30 38 STREET,7
25-31 38 STREET,11
25-31 CRESCENT STREET,12
25-32 30 DRIVE,20
25-33 37 STREET,6
25-33 CRESCENT STREET,12
25-34 36 STREET,6
25-34 CRESCENT STREET,11
25-35 38 STREET,11
25-35 ASTORIA BLVD SOUTH,14
25-35 CRESCENT STREET,12
25-36 38 STREET,9
25-40 36 STREET,9
25-40 SHORE BOULEVARD,5
25-41 22 STREET,9
25-42 14 PLACE,5
25-42 18 STREET,5
25-42 STEINWAY STREET,9
25-43 38 STREET,9
25-44 CRESCENT STREET,10
25-47 14 STREET,5
25-48 35 STREET,17
25-48 44 STREET,6
25-50 30 ROAD,19
25-50 31 STREET,16
25-50 33 STREET,17
25-51 12 STREET,5
25-52 31 STREET,16
25-56 33 STREET,17
25-56 37 STREET,10
25-56 38 STREET,8
25-59 14 PLACE,6
25-59 23 STREET,10
25-59 STEINWAY STREET,9
25-60 45 STREET,6
25-61 43 STREET,6
25-61 46 STREET,7
25-61 47 STREET,6
25-62 41 STREET,8
25-64 38 STREET,8
25-65 36 STREET,13
25-66 12 STREET,5
25-67 36 STREET,13
25-68 37 STREET,9
25-70 36 STREET,15
25-71 23 STREET,10
25-71 31 STREET,18
25-72 43 STREET,5
25-73 45 STREET,6
25-75 22 STREET,11
25-76 41 STREET,8
25-76 43 STREET,5
25-80 38 STREET,7
25-81 49 STREET,8
25-83 49 STREET,9
25-85 36 STREET,18
25-89 36 STREET,17
25-89 37 STREET,8
25-90 36 STREET,20
25-98 STEINWAY STREET,8
250 3 AVENUE,20
250 BOWERY,20
250 CLARKSON AVENUE,20
250 EAST 3 STREET,20
250 EAST 30 STREET,20
250 EAST 33 STREET,20
250 EAST 40 STREET,18
250 EAST 49 STREET,20
250 EAST 53 STREET,20
250 EAST 54 STREET,20
250 EAST 65 STREET,20
250 EAST 73 STREET,20
250 EAST HOUSTON STREET,20
250 MELROSE STREET,9
250 NORTH 10 STREET,20
250 SOUTH END AVENUE,20
250 VAN BRUNT STREET,12
250 WEST 20 STREET,20
250 WEST 50 STREET,20
250 WEST 89 STREET,20
250 WEST 90 STREET,20
250 WEST STREET,20
2500 JOHNSON AVENUE,14
2501 NOSTRAND AVENUE,12
251 7TH STREET,14
251 90 STREET,12
251 BALTIC STREET,20
251 EAST 32 STREET,20
251 IRVING AVENUE,18
251 WEST 121 STREET,20
251 WEST 18 STREET,20
251 WEST 19 STREET,20
251 WEST 73 STREET,20
251 WEST 89 STREET,20
251 WEST 92 STREET,20
2515 GLENWOOD ROAD,15
2516 EAST 13 STREET,5
2517 VOORHIES AVENUE,4
252 1 AVENUE,20
252 22 STREET,11
252 7 AVENUE,20
252 EAST 57TH ST,20
252 GREENE AVENUE,20
252 KINGSLAND AVENUE,4
252 NORMAN AVENUE,4
252 RICHARDSON STREET,10
252 SCHENECTADY AVENUE,20
252 SKILLMAN AVENUE,13
252 WEST 11 STREET,20
252 WEST 136 STREET,20
252 WEST 47 STREET,20
252 WEST 91 STREET,20
2521 CLARENDON ROAD,19
2522 NEWKIRK AVENUE,12
2523 WEST 17 STREET,4
253 BUSHWICK AVENUE,19
253 EVERGREEN AVENUE,20
253 NASSAU AVENUE,3
253 NEWKIRK AVENUE,16
253 NORTH 8 STREET,20
253 WARREN STREET,20
253 WEST 139 STREET,20
253 WITHERS STREET,10
2530 FOSTER AVENUE,15
254 BROOME STREET,20
254 DE KALB AVENUE,13
254 PALMETTO STREET,20
254 PARK AVENUE SOUTH,20
254 PATCHEN AVENUE,16
254 QUENTIN ROAD,7
254 SOUTH 1 STREET,20
254 WEST 88 STREET,20
254 WYCKOFF STREET,20
2544A WHITE PLAINS ROAD,14
2548 EAST 27 STREET,10
255 62 STREET,5
255 AUDUBON AVENUE,18
255 BERRY STREET,20
255 EAST 49 STREET,20
255 EAST 74 STREET,20
255 EASTERN PARKWAY,16
255 HUDSON STREET,16
255 KINGSLAND AVENUE,5
255 SKILLMAN AVENUE,13
255 STOCKHOLM STREET,17
255 WEST 23 STREET,20
255 WEST 75 STREET,20
255 WEST 88TH ST,20
256 FIELDSTON TERRACE,5
256 OVINGTON AVENUE,11
256 WADSWORTH AVENUE,20
2560 BROADWAY,20
2566 OCEAN AVENUE,12
257 15 STREET,20
257 8 STREET,13
257 CHURCH STREET,20
257 FLATBUSH AVENUE,20
257 GOLD STREET,20
257 WEST 12 STREET,20
257 WYTHE AVENUE,19
2578 BEDFORD AVENUE,13
257A SUMPTER STREET,17
258 BUSHWICK AVENUE,18
258 DRIGGS AVENUE,12
258 EAST 91 STREET,20
258 JEFFERSON STREET,13
258 SAINT NICHOLAS AVENUE,20
258 SOUTH 1 STREET,20
258 WEST 12 STREET,20
258 WEST 123 STREET,20
2585A BAINBRIDGE AVENUE,20
259 92 STREET,15
259 KINGSLAND AVENUE,5
259 POWERS STREET,20
259 WEST 12 STREET,20
2593 FREDERICK DOUGLASS BLVD,20
26 4 STREET,12
26 BROADWAY,20
26 EAST 63 STREET,20
26 FAYETTE STREET,17
26 LEFFERTS PLACE,20
26 LEROY STREET,20
26 LUDLOW STREET,20
26 MESEROLE STREET,20
26 NASSAU STREET,20
26 SPRING STREET,20
26 ST JOHN'S PLACE,20
26 WEST 70 STREET,20
26 WEST STREET,5
26 WILLOW STREET,5
26-01 24 AVENUE,11
26-01 29 STREET,14
26-04 14 PLACE,6
26-05 28 STREET,14
26-20 30 STREET,13
26-22 18 STREET,9
26-25 28 STREET,13
26-26 JACKSON AVENUE,20
26-28 30 STREET,13
26-30 29 STREET,13
26-35 14 STREET,9
26-38 21ST STREET,11
26-42 28 STREET,15
260 15 STREET,20
260 BERGEN STREET,20
260 DEVOE STREET,19
260 MOORE STREET,15
260 PARK AVENUE SOUTH,20
260 WEST 54 STREET,20
2600 NETHERLAND AVENUE,15
261 1 AVENUE,20
261 14 STREET,20
261 BAY 17 STREET,4
261 VAN BRUNT STREET,9
261 WEST 25 STREET,20
261 WEST 28 STREET,20
2610 GLENWOOD ROAD,13
2611 WEST 2 STREET,12
2612 WEST 2 STREET,11
262 56 STREET,8
262 CENTRAL PARK WEST,20
262 CLIFTON PLACE,20
262 MOTT STREET,20
2628 BROADWAY,20
263 EASTERN PARKWAY,17
263 LINDEN STREET,20
263 POWERS STREET,20
263 TROY AVENUE,20
263 VERNON AVENUE,20
264 DEVOE STREET,20
264 LINDEN STREET,20
264 SARATOGA AVENUE,20
264 STAGG STREET,20
2643 HUBBARD STREET,8
2644 BROADWAY,20
2649 FREDERICK DOUGLASS BLVD,20
265 1 AVENUE,20
265 89 STREET,16
265 EAST 66 STREET,20
265 NOSTRAND AVENUE,20
265 OCEAN AVENUE,6
265 WEST 138 STREET,20
2659 CONEY ISLAND AVENUE,5
266 62 STREET,1
266 DEAN STREET,20
266 EAST 10 STREET,20
266 STAGG STREET,20
267 BAY 17 STREET,4
267 CLARKSON AVENUE,20
267 FLATBUSH AVENUE,20
267 PACIFIC STREET,20
268 72 STREET,10
268 DEVOE STREET,20
268 FRANKLIN STREET,2
268 HANCOCK STREET,18
269 7 AVENUE,19
269 EAST 10 STREET,20
269 NASSAU AVENUE,3
27 CROOKE AVENUE,15
27 DODWORTH STREET,20
27 EAST 7 STREET,20
27 HAWTHORNE STREET,9
27 HOPE STREET,20
27 MONTGOMERY PLACE,20
27 WEST 60 STREET,20
27 WEST 71 STREET,20
27 WEST 72 STREET,20
27 WEST 96 STREET,20
27 WOOSTER STREET,20
27-01 ASTORIA BOULEVARD,15
27-02 ASTORIA BOULEVARD,15
27-03 42 ROAD,19
27-04 HOYT AVENUE SOUTH,11
27-07 23 AVENUE,9
27-14 27 STREET,17
27-15 NEWTOWN AVENUE,17
27-16 12 STREET,7
27-18 HOYT AVENUE SOUTH,13
27-19 44 DRIVE,20
27-21 44 DRIVE,20
27-28 THOMSON AVENUE,20
27-31 CRESCENT STREET,19
27-40 21 STREET,17
27-51 CRESCENT STREET,19
27-63 CRESCENT STREET,20
270 1 AVENUE,20
270 9 STREET,13
270 BROADWAY,20
270 CLARKSON AVENUE,20
270 THROOP AVENUE,20
270 UNION STREET,20
270 WEST 19 STREET,20
2700 BRONX PARK EAST,7
2700 GRAND CONCOURSE,13
2700 HENRY HUDSON PKWY E,14
2701 BROADWAY,20
2701 OCEAN AVENUE,7
2705 BAINBRIDGE AVENUE,16
2705 KINGS HIGHWAY,11
2709 BROADWAY,20
2709 DECATUR AVENUE,15
270A 9 STREET,13
271 6 STREET,15
271 AVENUE C,20
271 DEVOE STREET,18
271 NEW YORK AVENUE,20
271 PARKSIDE AVENUE,14
271 UNION STREET,20
271 WEST 125 STREET,20
271 WEST 144 STREET,20
271 WEST 47 STREET,20
2715 FARRAGUT ROAD,15
2716 MARION AVENUE,10
2717 SNYDER AVENUE,20
272 1 AVENUE,20
272 9 STREET,13
272 BERKELEY PLACE,20
272 CLIFTON PLACE,20
272 HIMROD STREET,18
272 LINCOLN PLACE,20
272 STAGG STREET,20
272 WEST 107TH STREET,20
272 WEST 238 STREET,12
2723 WEST 16 STREET,3
2725 MORRIS AVENUE,11
2727 HENRY HUDSON PKWY W,18
2727 HOMECREST AVENUE,16
2728 HENRY HUDSON PKWY E,19
273 18 STREET,19
273 76 STREET,12
273 ALBANY AVENUE,20
273 LEONARD STREET,20
273 NOSTRAND AVENUE,20
273 SOUTH 2 STREET,20
273 WEST 138 STREET,20
273 WEST 140 STREET,20
273 WEST 73 STREET,20
2731 BROADWAY,19
2733 BROADWAY,20
274 EAST 4 STREET,20
274 JEFFERSON STREET,10
274 WEST 11 STREET,20
2740 EAST 26 STREET,4
275 CENTRAL PARK WEST,20
275 CONOVER STREET,4
275 EAST 35 STREET,6
275 GREENWICH STREET,20
275 HALSEY STREET,20
275 LEONARD STREET,20
275 MENAHAN STREET,20
275 MONTGOMERY STREET,20
275 PARK AVENUE,12
275 WEST 96 STREET,20
2750 EAST 26 STREET,4
2750 HOMECREST AVENUE,15
2753 BRIGGS AVENUE,11
2753 BROADWAY,17
2759 BRONXWOOD AVENUE,11
276 NOSTRAND AVENUE,20
276 PROSPECT PARK WEST,14
276 RIVERSIDE DRIVE,20
276 WEST 11 STREET,20
277 AVENUE C,20
277 DEVOE STREET,17
277 EASTERN PARKWAY,17
277 WEST END AVENUE,20
2775 EAST 12TH STREET,15
2775 EAST 16 STREET,4
278 TROUTMAN STREET,13
278 WEST 117 STREET,20
2783 BROADWAY,19
279 21 STREET,10
279 BEDFORD AVENUE,20
279 E 44 STREET,19
279 MOTT STREET,20
279 NORTH 6 STREET,20
279 PROSPECT AVENUE,18
2790 BRAGG STREET,4
2796 COYLE STREET,3
28 CONSELYEA STREET,20
28 FILLMORE PLACE,20
28 LAIGHT STREET,20
28 MARINE AVENUE,10
28 SCHOLES STREET,20
28 ST MARK'S PLACE,20
28 WEST 73 STREET,20
28 WEST 96 STREET,20
28-02 23 AVENUE,9
28-02 33 AVENUE,19
28-02 STEINWAY STREET,7
28-05 33 AVENUE,20
28-05 43 STREET,6
28-05 ASTORIA BOULEVARD,14
28-05 NEWTOWN AVENUE,17
28-08 23 AVENUE,9
28-08 30 STREET,18
28-08 35 STREET,19
28-12 37 STREET,17
28-16 30 STREET,18
28-18 41 STREET,7
28-18 STEINWAY STREET,7
28-19 23 AVENUE,10
28-20 29 STREET,18
28-21 33 STREET,20
28-22 ASTORIA BOULEVARD,13
28-24 38 STREET,11
28-24 42 STREET,8
28-25 33 STREET,20
28-25 34 STREET,19
28-25 ASTORIA BOULEVARD,14
28-28 29 STREET,18
28-32 35 STREET,20
28-32 45 STREET,10
28-34 46 STREET,11
28-38 49 STREET,10
28-39 46 STREET,11
28-40 34 STREET,20
28-40 38 STREET,16
28-40 49 STREET,10
28-42 38 STREET,16
28-42 42 STREET,8
28-43 38 STREET,11
28-45 33 STREET,20
28-46 34 STREET,17
28-48 38 STREET,17
28-49 33 STREET,20
28-49 46 STREET,11
280 1 AVENUE,20
280 ASHLAND PLACE,20
280 EAST 2 STREET,13
280 METROPOLITAN AVENUE,20
280 MONTGOMERY STREET,20
280 PARK AVENUE SOUTH,20
280 PUTNAM AVENUE,18
280 RECTOR PLACE,20
280 RIVERSIDE DRIVE,19
280 WEST 117 STREET,20
2809 BRAGG STREET,4
281 24 STREET,7
281 AVENUE C,20
281 DEVOE STREET,17
281 UNION AVENUE,20
2815 COYLE STREET,4
2815 OCEAN PARKWAY,15
2815 WEST 37 STREET,5
2819 TILDEN AVENUE,19
282 CABRINI BOULEVARD,14
282 EAST 2 STREET,13
2823 ALBEMARLE ROAD,19
283 22 STREET,10
283 ALBANY AVENUE,20
283 SMITH STREET,19
2838 BRONX PARK EAST,9
284 5 AVENUE,20
2843 86 STREET,8
285 6 AVENUE,20
285 BEDFORD AVENUE,20
285 DIVISION AVENUE,20
285 DRIGGS AVENUE,11
285 FT WASHINGTON AVENUE,18
2856 BRONX PARK EAST,9
2858 STILLWELL AVENUE,3
286 5 AVENUE,20
286 BLEECKER STREET,20
286 CLINTON AVENUE,14
286 FT WASHINGTON AVENUE,15
286 SULLIVAN PLACE,18
286 UNION AVENUE,20
286 WEST END AVENUE,20
287 3 AVENUE,20
287 EVERGREEN AVENUE,20
287 HARMAN STREET,19
287 KOSCIUSZKO STREET,20
287 MCGUINNESS BLVD,6
287 TROUTMAN STREET,10
287-289 BEDFORD AVENUE,20
288 3 AVENUE,12
288 6 STREET,14
288 LEXINGTON AVENUE,20
288 MC GUINNESS BLVD,6
288 WEST 12 STREET,20
288A NASSAU AVENUE,3
2894 HEATH AVENUE,16
29 2 AVENUE,20
29 2 PLACE,18
29 ADRIAN AVENUE,20
29 HAWTHORNE STREET,9
29 MONTROSE AVENUE,20
29 TIFFANY PLACE,11
29 WEST 12 STREET,20
29 WEST 65 STREET,20
29 WOODHULL STREET,12
29-07 DITMARS BOULEVARD,11
29-19 213 STREET,2
29-27 24 AVENUE,13
290 1/2 HARMAN STREET,20
290 3 AVENUE,20
290 HAWTHORNE STREET,19
290 HERKIMER STREET,18
290 RIVERSIDE DRIVE,17
290 STOCKHOLM STREET,16
2901 AVENUE J,11
291 3 AVENUE,11
291 CHERRY STREET,17
291 MAC DOUGAL STREET,19
291 ONDERDONK AVENUE,11
291 PLEASANT AVENUE,20
291 STANHOPE STREET,20
291 STOCKHOLM STREET,17
2913 FOSTER AVENUE,12
2916 AVENUE R,6
292 ATLANTIC AVENUE,20
292 LINCOLN PLACE,20
292 WILSON AVENUE,20
2920 86 STREET,9
293 FRANKLIN AVENUE,20
293 GRAND AVENUE,20
294 GRAHAM AVENUE,20
294 ST JAMES PLACE,20
294 WEST 92 STREET,20
294 WILLOUGHBY AVENUE,19
2940 OCEAN PARKWAY,17
295 3 AVENUE,12
295 9 STREET,14
295 CLINTON AVENUE,18
295 CONVENT AVENUE,20
295 DE GRAW STREET,20
295 EAST 149 STREET,20
295 GRAHAM AVENUE,20
295 GREENWICH STREET,20
295 PACIFIC STREET,20
295 PARKSIDE AVENUE,13
295 WYCKOFF AVENUE,18
2955 SHELL ROAD,12
296 CLINTON STREET,20
296 COVERT STREET,13
296 HALSEY STREET,20
296 POWERS STREET,20
296 THROOP AVENUE,20
2961 MARION AVENUE,13
297 COLUMBIA STREET,14
297 LENOX ROAD,20
297 LIVINGSTON STREET,20
298 1 STREET,20
298 LEONARD STREET,20
299 7 AVENUE,19
299 EAST 139 STREET,20
299 HART STREET,20
299 THROOP AVENUE,20
299 WEST 12 STREET,20
2995 BOTANICAL SQUARE,10
3 CLINTON STREET,20
3 EAST 115 STREET,20
3 HERKIMER PLACE,16
3 LEXINGTON AVENUE,20
3 PULASKI STREET,20
3 QUINCY STREET,20
3 WEST 102 STREET,18
3 WEST 137 STREET,20
3 WEST 36 STREET,20
3 WEST 87 STREET,20
30 4 PLACE,12
30 BAYARD STREET,20
30 CHEEVER PLACE,15
30 CHRISTOPHER STREET,20
30 COVERT STREET,18
30 DANIEL LOW TERRACE,9
30 DRIGGS AVENUE,3
30 EAST 14 STREET,20
30 EAST 37 STREET,20
30 EAST 85 STREET,20
30 EAST 95 STREET,20
30 EAST END AVENUE,20
30 HICKS STREET,8
30 LEFFERTS AVENUE,8
30 LEXINGTON AVENUE,20
30 MAIN STREET,8
30 MONROE PLACE,20
30 PARK PLACE,20
30 PARK TERRACE EAST,13
30 RIVER ROAD,16
30 ROGERS AVENUE,16
30 SAINT FELIX STREET,20
30 WASHINGTON STREET,7
30 WATERSIDE PLAZA,15
30 WEST 60 STREET,20
30 WEST 63 STREET,20
30 WEST STREET,20
30-01 29 STREET,19
30-01 31 AVENUE,17
30-01 39 AVENUE,18
30-02 BROADWAY,20
30-03 NEWTOWN AVENUE,17
30-05 NEWTOWN AVENUE,16
30-11 21 STREET,20
30-11 34 STREET,18
30-11 49 STREET,11
30-13 30 STREET,20
30-15 30 STREET,20
30-15 33 STREET,18
30-17 49 STREET,11
30-17 86 STREET,6
30-18 ASTORIA BOULEVARD,13
30-22 32 STREET,17
30-23 23 STREET,20
30-26 35 STREET,20
30-26 49 STREET,11
30-29 48 STREET,12
30-30 30 STREET,19
30-31 34 STREET,19
30-32 38 STREET,18
30-32 41 STREET,10
30-32 WEST 9TH STREET,20
30-33 32 STREET,18
30-34 49 STREET,11
30-35 14 STREET,16
30-36 34 STREET,17
30-37 30 STREET,18
30-38 48 STREET,13
30-40 21 STREET,20
30-40 32 STREET,18
30-40 42 STREET,11
30-40 48 STREET,12
30-41 73 STREET,5
30-43 14 STREET,15
30-43 41 STREET,10
30-44 29 STREET,20
30-47 34 STREET,20
30-47 35 STREET,18
30-48 12 STREET,9
30-50 23 STREET,20
30-50 30 STREET,18
30-50 41 STREET,12
30-50 42 STREET,11
30-54 33 STREET,18
30-55 33 STREET,18
30-55 43 STREET,11
30-55 47 STREET,11
30-56 30 STREET,20
30-58 34 STREET,18
30-58 36 STREET,18
30-60 44 STREET,12
30-60 47 STREET,11
30-60 48 STREET,12
30-63 38 STREET,17
30-64 41 STREET,15
30-66 44 STREET,12
30-67 14 STREET,10
30-70 48 STREET,12
30-71 33 STREET,18
30-72 29 STREET,20
30-74 30 STREET,19
30-74 32 STREET,8
30-74 36 STREET,20
30-74 48 STREET,11
30-75 33 STREET,18
30-75 43 STREET,12
30-76 38 STREET,18
30-77 38 STREET,16
30-78 34 STREET,18
30-80 21 STREET,20
30-81 38 STREET,16
30-82 33 STREET,15
30-83 29 STREET,20
30-83 30 STREET,18
30-83 32 STREET,14
30-83 47 STREET,11
30-84 34 STREET,19
30-84 50 STREET,10
30-85 VERNON BOULEVARD,8
30-86 37 STREET,17
30-87 32 STREET,14
30-87 33 STREET,18
30-89 38 STREET,16
30-91 48 STREET,11
30-91 CRESCENT STREET,20
30-94 CRESCENT STREET,20
30-96 32 STREET,16
30-99 47 STREET,11
300 5 AVENUE,20
300 ALBANY AVENUE,20
300 ALBANY STREET,20
300 BURNS STREET,9
300 EAST 23 STREET,20
300 EAST 33 STREET,20
300 EAST 34 STREET,20
300 EAST 39 STREET,17
300 EAST 40TH STREET,16
300 EAST 51 STREET,20
300 EAST 55 STREET,20
300 EAST 59 STREET,20
300 EAST 62 STREET,20
300 EAST 64 STREET,20
300 EAST 85 STREET,18
300 EAST 93 STREET,20
300 FT WASHINGTON AVENUE,20
300 HICKS STREET,16
300 NORTH END AVENUE,17
300 RECTOR PLACE,20
300 WADSWORTH AVENUE,20
300 WEST 108 STREET,18
300 WEST 135 STREET,20
300 WEST 14 STREET,20
300 WEST 21ST STREET,20
3000 OCEAN PARKWAY,16
301 100 STREET,6
301 6 AVENUE,20
301 EAST 21ST STREET,20
301 EAST 26 STREET,15
301 EAST 45 STREET,20
301 EAST 61ST STREET,20
301 EAST 63 STREET,20
301 EAST 79 STREET,20
301 EAST 87 STREET,20
301 STANHOPE STREET,20
301 WEST 110TH STREET,20
301 WEST 115TH STREET,20
301 WEST 53RD STREET,20
301 WEST 57 STREET,20
301-303 EAST 4 STREET,20
3015 AVENUE D,11
302 2 STREET,19
302 8 AVENUE,20
302 BEDFORD AVENUE,20
302 COLUMBUS AVENUE,20
302 EAST 19 STREET,20
302 EASTERN PARKWAY,20
302 MARINE AVENUE,7
302 PLEASANT AVENUE,19
302 WEST 107 STREET,18
302 WEST 109 STREET,18
302 WEST 12 STREET,20
302 WINDSOR PLACE,2
3020 AVENUE D,11
3021 AVENUE I,10
303 99 STREET,6
303 BAY 11 STREET,3
303 BEVERLY ROAD,4
303 DOUGLASS STREET,20
303 EAST 12 STREET,20
303 EAST 33 STREET,20
303 EAST 43 STREET,16
303 EAST 57 STREET,18
303 EAST 83 STREET,20
303 EAST 94 STREET,20
