0,number_of_schools
129 LAFAYETTE STREET,20
129 METROPOLITAN AVENUE,20
129 SCHAEFER STREET,14
129 STOCKHOLM STREET,20
1290 BUSHWICK AVENUE,14
1295 5 AVENUE,20
1296 MADISON AVENUE,20
1297 ST JOHN'S PLACE,20
13 3 STREET,15
13 ESSEX STREET,20
13 PARK PLACE,20
13 SEELEY STREET,6
13 ST MARK'S PLACE,20
13-01 125 STREET,3
13-01 34 AVENUE,14
13-11 JACKSON AVENUE,9
130 AINSLIE STREET,20
130 BARROW STREET,16
130 BAY RIDGE PARKWAY,12
130 EAST 35 STREET,20
130 EAST 59 STREET,12
130 FULTON STREET,20
130 GREENE STREET,20
130 MARTENSE STREET,20
130 NORMAN AVENUE,2
130 NORTH 5 STREET,20
130 NOSTRAND AVENUE,20
130 ORCHARD STREET,20
130 SCHOLES STREET,20
130 SOUTH 2 STREET,20
130 WADSWORTH AVENUE,20
130 WATER STREET,20
130 WEST 10 STREET,20
130 WEST 15 STREET,20
130 WEST 19 STREET,20
130 WEST 30 STREET,20
130 WEST 79 STREET,20
130 WILSON AVENUE,14
1300 STERLING PLACE,20
1302 TELLER AVENUE,20
1303 GREENE AVENUE,19
1309 5 AVENUE,20
1309 FOSTER AVENUE,8
131 AVENUE A,20
131 CENTRAL PARK NORTH,20
131 EAST 59 STREET,14
131 GUERNSEY STREET,9
131 LINCOLN ROAD,14
131 LINDEN STREET,20
131 MENAHAN STREET,20
131 MULBERRY STREET,20
131 WEST 11 STREET,20
131-01 40TH RD,13
131-03 40 ROAD,11
131-05 40TH ROAD,11
131-61 40 ROAD,12
1310 AVENUE R,20
1311 BRIGHTWATER AVENUE,7
1313 PUTNAM AVENUE,20
1314 OCEAN PARKWAY,19
1316 HALSEY STREET,19
1317 EAST 14 STREET,20
1318 HALSEY STREET,17
132 DUPONT STREET,2
132 EAST 30 STREET,20
132 EAST 65 STREET,20
132 JEFFERSON AVENUE,19
132 NOSTRAND AVENUE,20
132 ORCHARD STREET,20
132 UNION STREET,11
132 WEST 119 STREET,20
132 WEST 123RD STREET,20
132 WEST 15 STREET,20
132 WEST 22 STREET,20
132 WEST 87 STREET,20
132-70 SANFORD AVENUE,15
1320 STERLING PLACE,20
1322 2 AVENUE,20
1322 STERLING PLACE,20
1323 MYRTLE AVENUE,20
1326 OCEAN AVENUE,12
1328 LEXINGTON AVENUE,20
133 2 AVENUE,20
133 20 STREET,10
133 23 STREET,7
133 AVENUE D,20
133 BAY RIDGE AVENUE,8
133 ESSEX STREET,20
133 MULBERRY STREET,20
133 PATCHEN AVENUE,20
133 ROGERS AVENUE,15
133 SOUTH 1 STREET,20
133 WATER STREET,10
133 WEST 136 STREET,20
133 WEST 22 STREET,20
133 WEST 95 STREET,20
133-143 WEST 225 STREET,20
1330 BAY RIDGE AVENUE,13
1330 EASTERN PARKWAY,20
1331 EAST 19 STREET,19
1332 81 STREET,8
1338 73 STREET,9
1338 BERGEN STREET,20
1338 SUTTER AVENUE,8
134 EAST 22 STREET,20
134 EAST 93 STREET,20
134 FROST STREET,14
134 GATLING PLACE,8
134 JAVA STREET,6
